position, player, projection, salary
TE,Carrier Derek,2.8,4500
TE,Pitta Dennis,2.7,5800
TE,Doyle Jack,2.5,4500
TE,Wright Tim,2.5,4500
TE,Stocker Luke,2.5,4500
TE,Casey James,2.4,4500
TE,Ertz Zach,2.4,5800
TE,Miller Zach,2.2,4500
K,Vinatieri Adam,16,5000
K,Folk Nick,15,4900
K,Suisham Shaun,15,4900
K,Parkey Cody,15,4900
K,Catanzaro Chandler,13,5000
K,Forbath Kai,12,4700
K,Brown Josh,12,4500
K,Bailey Dan,11,5400
K,Janikowski Sebastian,11,4500
K,Tucker Justin,11,5000
K,Walsh Blair,10,5000
K,Gostkowski Stephen,10,5500
K,Gould Robbie,10,4600
K,Gano Graham,9,5300
K,Sturgis Caleb,9,4900
K,Bryant Matt,8,5200
K,Novak Nick,8,5200
K,Hauschka Steven,8,5200
K,Nugent Mike,7,5100
K,Zuerlein Greg,7,5000
K,Scobee Josh,6,4500
K,Freese Nate,5,4500
K,Carpenter Dan,5,5300
K,Bullock Randy,5,4900
K,McManus Brandon,4,5000
K,Santos Cairo,4,4600
K,Cundiff Billy,3,4600
K,Dawson Phil,2,5300
K,Graham Shayne,2,4700
K,Murray Patrick,2,4500
K,Succop Ryan,1,4900
K,Crosby Mason,1,5100
DEF,Atlanta Defense,29,4600
DEF,Indianapolis Defense,17,5100
DEF,Detroit Defense,16,4500
DEF,Chicago Defense,16,4900
DEF,Pittsburgh Defense,14,4700
DEF,Cincinnati Defense,12,5300
DEF,Dallas Defense,12,4800
DEF,Green Bay Defense,12,4700
DEF,Tampa Bay Defense,11,4800
DEF,New York G Defense,11,4900
DEF,Miami Defense,10,5000
DEF,St. Louis Defense,10,4800
